Player,RookieYear,Team,2PS,3PS,DEF,REB,OVR,c_G,c_MP,c_FG,c_FGA,c_FGpct,c_3P,c_3PA,c_3Ppct,c_FT,c_FTA,c_FTpct,c_ORB,c_TRB,c_AST,c_STL,c_BLK,c_TOV,c_PF,c_PTS,c_2P,c_2PA,c_2Ppct,c_inv_pick,c_TSp,c_USGp,c_STLp,c_BLKp,c_ASTp,c_TOVp,c_ORBp,c_DRBp,c_BPM,c_OBPM,c_DBPM,c_3PAr,c_FTr
A.J. Price,2010,IND,13,17,13,13,56,35.0,31.8,4.857142857142857,11.914285714285716,0.408,2.342857142857143,5.828571428571428,0.402,2.657142857142857,3.6857142857142855,0.721,0.5714285714285714,3.4857142857142858,4.685714285714286,0.6857142857142857,0.0,2.685714285714285,1.2571428571428571,14.714285714285714,2.514285714285714,6.085714285714286,0.4131455399061031,0.0192307692307692,0.538,25.1,,0.0,28.2,16.4,,,,,,0.489,0.309
AJ Griffin,2023,ATL,14,18,13,13,58,39.0,24.0,3.743589743589744,7.589743589743589,0.493,1.8205128205128205,4.076923076923077,0.447,1.0769230769230769,1.358974358974359,0.792,0.7692307692307693,3.923076923076923,0.9743589743589745,0.5128205128205128,0.5641025641025641,0.6410256410256411,1.0769230769230769,10.384615384615383,1.9230769230769231,3.5128205128205128,0.5474452554744526,0.0625,0.63,18.8,1.3,2.3,7.0,7.2,3.9,13.7,8.1,6.6,1.5,0.537,0.179
Aaron Brooks,2008,HOU,14,16,11,14,55,35.0,36.8,6.085714285714285,13.228571428571428,0.46,2.2857142857142856,5.6571428571428575,0.404,3.2857142857142856,3.8857142857142857,0.846,0.8857142857142857,4.257142857142857,4.257142857142857,1.3714285714285714,0.1714285714285714,2.5428571428571427,2.5142857142857142,17.742857142857144,3.8,7.57142857142857,0.5018867924528302,0.0384615384615384,0.589,24.4,,0.3,24.0,14.4,,,,,,0.428,0.294
Aaron Gordon,2015,ORL,12,11,13,14,50,38.0,31.2,4.973684210526316,10.052631578947368,0.495,0.4210526315789473,1.1842105263157894,0.356,2.0,4.7368421052631575,0.422,2.6842105263157894,7.973684210526316,1.973684210526316,0.8947368421052632,1.0263157894736843,1.4473684210526316,2.3684210526315788,12.36842105263158,4.552631578947368,8.868421052631579,0.5133531157270029,0.25,0.503,23.2,1.8,3.4,13.0,10.5,10.4,19.3,8.4,3.7,4.7,0.118,0.471
Aaron Gray,2008,CHI,13,10,12,14,49,36.0,28.2,5.666666666666667,10.02777777777778,0.565,0.0,0.0,,2.5277777777777777,4.611111111111111,0.548,3.333333333333333,9.47222222222222,1.6944444444444444,0.4166666666666667,1.7222222222222223,1.5277777777777777,2.5277777777777777,13.86111111111111,5.666666666666667,10.02777777777778,0.5650969529085872,0.0204081632653061,0.567,,,,,11.1,,,,,,0.0,0.46
Aaron Holiday,2019,IND,13,15,13,13,54,33.0,37.7,6.424242424242424,13.93939393939394,0.461,2.6666666666666665,6.212121212121212,0.429,4.818181818181818,5.818181818181818,0.828,0.5151515151515151,3.6666666666666665,5.818181818181818,1.2727272727272727,0.2424242424242424,3.787878787878788,2.636363636363636,20.33333333333333,3.757575757575757,7.727272727272727,0.4862745098039215,0.0434782608695652,0.609,26.7,1.9,0.7,29.9,18.5,1.6,8.7,5.9,5.3,0.6,0.446,0.417
Aaron Nesmith,2021,BOS,11,14,10,14,49,14.0,35.7,7.5,14.642857142857142,0.512,4.285714285714286,8.214285714285714,0.522,3.7142857142857135,4.5,0.825,0.7857142857142857,4.857142857142857,0.9285714285714286,1.4285714285714286,0.8571428571428571,1.7142857142857142,2.7857142857142856,23.0,3.2142857142857144,6.428571428571429,0.5,0.0714285714285714,0.685,26.3,2.3,2.6,6.9,9.3,2.5,13.9,9.7,9.3,0.4,0.561,0.307
Aaron Wiggins,2022,OKC,12,12,10,12,46,31.0,33.0,5.32258064516129,11.935483870967742,0.446,1.8387096774193548,5.161290322580645,0.356,1.967741935483871,2.548387096774193,0.772,1.1290322580645162,5.838709677419355,2.548387096774193,1.1290322580645162,0.5483870967741935,1.967741935483871,2.032258064516129,14.451612903225806,3.483870967741935,6.774193548387097,0.5142857142857142,0.0181818181818181,0.55,25.4,2.1,2.0,17.3,13.0,4.4,16.1,7.0,4.9,2.1,0.432,0.214
Abdel Nader,2018,BOS,9,11,9,11,40,35.0,31.1,4.6,9.628571428571428,0.478,1.4857142857142858,4.0,0.371,2.2285714285714286,3.0285714285714285,0.736,0.7428571428571429,4.971428571428572,1.542857142857143,1.0571428571428572,0.6571428571428571,2.257142857142857,2.8,12.914285714285716,3.114285714285714,5.628571428571428,0.5532994923857868,0.0172413793103448,0.583,21.5,1.9,2.1,8.0,16.9,2.9,14.4,3.5,1.9,1.6,0.415,0.315
Ace Bailey,2026,UTA,12,13,12,10,47,30.0,33.3,6.766666666666667,14.7,0.46,1.5666666666666669,4.533333333333333,0.346,2.466666666666667,3.566666666666667,0.692,2.066666666666667,7.166666666666667,1.2666666666666666,1.0,1.2666666666666666,2.033333333333333,2.7666666666666666,17.566666666666666,5.2,10.166666666666666,0.5114754098360657,0.2,,,,,,,,,,,,,
Acie Law,2008,ATL,11,10,9,11,41,34.0,33.9,6.352941176470588,12.705882352941176,0.5,1.1176470588235294,2.4411764705882355,0.458,4.235294117647059,5.441176470588236,0.778,0.2352941176470588,3.323529411764706,4.970588235294118,1.1470588235294117,0.0294117647058823,2.588235294117647,2.4411764705882355,18.058823529411764,5.235294117647058,10.26470588235294,0.5100286532951289,0.0909090909090909,0.591,27.8,,0.1,30.8,14.5,,,,,,0.192,0.428
Adam Morrison,2007,CHA,11,11,7,10,39,33.0,36.5,9.272727272727272,18.696969696969692,0.496,2.242424242424242,5.242424242424242,0.428,7.272727272727272,9.424242424242424,0.772,1.4242424242424243,5.515151515151516,1.696969696969697,1.0606060606060606,0.3333333333333333,2.303030303030303,2.0,28.060606060606062,7.030303030303031,13.454545454545451,0.5225225225225226,0.3333333333333333,0.605,,,,,9.0,,,,,,0.28,0.504
Adem Bona,2025,PHI,13,9,16,13,51,33.0,26.5,4.636363636363637,7.878787878787879,0.588,0.0,0.0303030303030303,0.0,3.121212121212121,4.484848484848484,0.696,2.0,5.909090909090909,1.2424242424242424,1.121212121212121,1.7575757575757576,2.484848484848485,3.606060606060606,12.393939393939394,4.636363636363637,7.848484848484849,0.5907335907335908,0.024390243902439,0.619,25.0,2.6,8.8,11.6,19.9,8.9,18.1,6.5,1.9,4.5,0.004,0.569
Admiral Schofield,2020,WAS,9,11,8,11,39,37.0,31.8,6.4324324324324325,13.567567567567568,0.474,2.0,4.783783783783784,0.418,1.6216216216216215,2.324324324324324,0.698,1.162162162162162,6.135135135135135,2.027027027027027,0.8918918918918919,0.4594594594594595,1.891891891891892,2.5405405405405403,16.486486486486488,4.4324324324324325,8.783783783783784,0.5046153846153846,0.0238095238095238,0.562,26.2,1.6,1.7,12.0,11.4,4.5,16.4,6.3,4.7,1.6,0.353,0.171
Adreian Payne,2015,MIN,10,8,8,11,37,31.0,28.1,5.741935483870968,11.419354838709678,0.503,1.4193548387096775,3.3548387096774195,0.423,3.5161290322580645,4.451612903225806,0.79,1.5483870967741935,7.258064516129032,1.3225806451612905,0.4838709677419355,0.9032258064516128,2.032258064516129,2.5806451612903225,16.419354838709676,4.32258064516129,8.064516129032258,0.5359999999999999,0.0666666666666666,0.607,28.9,1.0,3.8,10.2,13.1,6.8,22.9,7.5,5.5,2.0,0.294,0.39
Ajay Mitchell,2025,OKC,14,14,13,14,55,29.0,31.5,6.724137931034483,13.344827586206897,0.504,1.137931034482759,2.896551724137931,0.393,5.413793103448276,6.310344827586207,0.858,0.2413793103448276,4.0344827586206895,3.9655172413793114,1.1724137931034482,0.3793103448275862,2.5517241379310347,2.5517241379310347,20.0,5.586206896551724,10.448275862068966,0.5346534653465346,0.0263157894736842,0.612,31.1,2.2,1.2,28.2,13.5,1.0,13.4,5.0,4.6,0.4,0.217,0.473
Al Horford,2008,ATL,16,10,16,20,62,38.0,27.8,4.894736842105263,8.052631578947368,0.608,0.0,0.0526315789473684,0.0,3.421052631578948,5.315789473684211,0.644,2.526315789473684,9.473684210526317,2.1578947368421053,0.7368421052631579,1.8421052631578947,1.7894736842105263,2.473684210526316,13.210526315789474,4.894736842105263,8.0,0.6118421052631579,0.3333333333333333,0.624,,,,,14.5,,,,,,0.007,0.66
Al Thornton,2008,LAC,15,10,12,12,49,35.0,31.2,6.971428571428572,13.142857142857142,0.53,1.0285714285714285,2.3142857142857145,0.444,4.742857142857143,6.0,0.79,3.0285714285714285,7.171428571428572,0.6857142857142857,1.5142857142857142,1.1428571428571428,2.4857142857142858,2.7142857142857144,19.714285714285715,5.942857142857143,10.828571428571427,0.5488126649076518,0.0714285714285714,0.616,30.0,,2.7,5.0,13.5,,,,,,0.176,0.457
Al-Farouq Aminu,2011,LAC,11,12,15,13,51,31.0,31.3,5.387096774193548,12.064516129032258,0.447,0.5806451612903226,2.129032258064516,0.273,4.483870967741935,6.419354838709677,0.698,4.290322580645161,10.709677419354838,1.3225806451612905,1.4193548387096775,1.4193548387096775,3.193548387096774,2.935483870967742,15.838709677419354,4.806451612903225,9.935483870967742,0.4837662337662337,0.125,,,,,,,,,,,,,
Alando Tucker,2008,PHO,8,9,5,9,31,36.0,32.8,7.111111111111111,15.13888888888889,0.47,1.1111111111111112,3.4166666666666665,0.325,4.555555555555555,6.916666666666667,0.659,2.1666666666666665,5.444444444444445,2.0277777777777777,0.9166666666666666,0.2777777777777778,1.6666666666666667,1.25,19.88888888888889,6.0,11.722222222222223,0.5118483412322274,0.0344827586206896,0.54,32.8,,0.7,16.1,8.3,,,,,,0.226,0.457
Alec Burks,2012,UTA,16,12,12,14,54,38.0,31.4,6.605263157894737,14.078947368421051,0.469,0.7368421052631579,2.526315789473684,0.292,6.552631578947368,7.947368421052632,0.825,2.3947368421052637,6.5,2.9473684210526314,1.0789473684210529,0.3157894736842105,2.6052631578947367,2.3421052631578947,20.5,5.86842105263158,11.55263157894737,0.5079726651480638,0.0833333333333333,0.574,32.3,2.0,1.0,19.6,12.7,9.2,14.8,8.1,8.0,0.0,0.179,0.564
Alex Len,2014,PHO,8,8,8,10,34,38.0,26.4,4.552631578947368,8.526315789473685,0.534,0.0263157894736842,0.2105263157894736,0.125,2.763157894736842,4.026315789473684,0.686,2.8684210526315788,7.842105263157895,0.9736842105263158,0.2105263157894736,2.0526315789473686,1.5789473684210529,2.6578947368421053,11.894736842105264,4.526315789473684,8.31578947368421,0.5443037974683544,0.2,0.57,22.8,0.5,8.0,7.8,13.1,13.2,21.0,6.8,3.6,3.2,0.025,0.472
Alexander Johnson,2007,MEM,12,10,14,13,49,29.0,24.9,4.379310344827586,8.10344827586207,0.54,0.3103448275862069,1.0,0.31,4.137931034482759,5.862068965517241,0.706,2.5517241379310347,7.448275862068965,0.7241379310344828,1.0689655172413792,1.0344827586206895,2.827586206896552,3.206896551724138,13.20689655172414,4.068965517241379,7.103448275862069,0.5728155339805825,0.0222222222222222,0.606,26.8,,3.0,6.0,20.6,,,,,,0.123,0.723
